,Temperature,Humidity Sensor,CO,HCHO,EtOH,UUT1_I_S1,UUT1_I_S2,UUT1_I_S3,UUT1_I_S4,UUT2_I_S1,UUT2_I_S2,UUT2_I_S3,UUT2_I_S4,UUT3_I_S1,UUT3_I_S2,UUT3_I_S3,UUT3_I_S4,Gaz warning
34820,25.0,39.982338,465.255,0.071,13.445,7.476588541666667e-05,0.00013674841145833332,6.935234375e-05,3.22628125e-05,5.808924479166667e-05,0.000106804921875,6.596182291666667e-05,2.7645520833333334e-05,7.087125e-05,0.000127566484375,8.351614583333333e-05,3.61025e-05,0.0
34821,25.0,39.982338,465.255,0.071,13.445,7.5747109375e-05,0.00013863955729166667,7.096270833333333e-05,3.2944218749999995e-05,5.91021875e-05,0.00010890234375,6.767158854166666e-05,2.835104166666667e-05,7.217846354166667e-05,0.00013019817708333334,8.554033854166666e-05,3.697401041666667e-05,0.0
34822,25.0,39.982338,465.255,0.071,13.445,7.6604296875e-05,0.00014035361979166665,7.244705729166666e-05,3.3569453125e-05,5.999908854166667e-05,0.00011091809895833333,6.932177083333334e-05,2.9003776041666665e-05,7.338901041666666e-05,0.000132704140625,8.7484453125e-05,3.780625e-05,0.0
34823,25.0,39.982338,465.255,0.071,13.445,7.731140625000001e-05,0.00014180369791666668,7.386598958333334e-05,3.418809895833333e-05,6.0780625e-05,0.00011269114583333335,7.089000000000001e-05,2.9646276041666667e-05,7.4535078125e-05,0.00013510083333333333,8.935375000000001e-05,3.8613828125e-05,0.0
34824,25.0,39.982338,465.255,0.071,13.445,7.790783854166667e-05,0.00014298520833333335,7.5173046875e-05,3.47071875e-05,6.1518984375e-05,0.00011439559895833335,7.234098958333333e-05,3.0226848958333335e-05,7.557783854166667e-05,0.00013721703124999998,9.117440104166668e-05,3.9363125e-05,0.0
34825,25.0,39.982338,465.255,0.071,13.445,7.838838541666666e-05,0.00014394427083333334,7.640804687499999e-05,3.5180755208333334e-05,6.217861979166667e-05,0.00011584859375,7.367861979166666e-05,3.0768828125000005e-05,7.645260416666668e-05,0.00013929825520833333,9.287510416666667e-05,4.006802083333334e-05,0.0
34826,25.0,39.982338,465.255,0.071,13.445,7.8710234375e-05,0.00014473346354166666,7.749372395833333e-05,3.561169270833333e-05,6.274023437500001e-05,0.00011708695312500001,7.489192708333335e-05,3.1258515625e-05,7.722945312500001e-05,0.00014109705729166666,9.4445546875e-05,4.0709765625e-05,0.0
34827,25.0,39.982338,465.255,0.071,13.445,7.891502604166667e-05,0.000145265078125,7.849427083333334e-05,3.599484375e-05,6.313278645833333e-05,0.00011813315104166668,7.602916666666666e-05,3.169440104166667e-05,7.794799479166668e-05,0.00014266536458333332,9.587653645833332e-05,4.1308359375e-05,0.0
34828,25.0,39.982338,465.255,0.071,13.445,7.570372395833334e-05,0.00013965380208333334,7.525783854166666e-05,3.446005208333333e-05,6.0524322916666665e-05,0.00011360252604166666,7.290619791666667e-05,3.037486979166667e-05,7.493369791666667e-05,0.00013767877604166668,9.220406250000001e-05,3.96696875e-05,0.0
34829,25.0,39.982338,465.255,0.071,13.445,7.266645833333333e-05,0.00013434684895833335,7.204455729166667e-05,3.2959140625e-05,5.795210937500001e-05,0.00010914687499999999,6.972018229166667e-05,2.9022838541666667e-05,7.1975625e-05,0.00013273424479166664,8.846643229166666e-05,3.80209375e-05,0.0
34830,25.0,39.982338,465.255,0.071,13.445,7.002885416666667e-05,0.00012976283854166667,6.917046874999999e-05,3.1642734375e-05,5.5763125e-05,0.00010519624999999999,6.682684895833332e-05,2.7824583333333335e-05,6.938395833333334e-05,0.000128214375,8.507278645833333e-05,3.6526276041666666e-05,0.0
34831,25.0,39.982338,465.255,0.071,13.445,6.777354166666667e-05,0.00012580419270833334,6.659309895833334e-05,3.04746875e-05,5.378255208333333e-05,0.00010159690104166666,6.423234375e-05,2.6741354166666667e-05,6.700486979166667e-05,0.000124020703125,8.199338541666667e-05,3.5213802083333334e-05,0.0
34832,25.0,39.982338,465.255,0.071,13.445,6.5742421875e-05,0.0001221653125,6.424286458333334e-05,2.94134375e-05,5.2007578125000006e-05,9.832690104166666e-05,6.187442708333334e-05,2.576666666666667e-05,6.481817708333334e-05,0.00012023739583333334,7.913755208333333e-05,3.399130208333334e-05,0.0
34833,25.0,39.982338,465.255,0.071,13.445,6.391127604166668e-05,0.000118843359375,6.208572916666666e-05,2.848221354166667e-05,5.037658854166667e-05,9.526348958333333e-05,5.9643359375e-05,2.4867708333333338e-05,6.283526041666667e-05,0.00011666294270833333,7.648494791666668e-05,3.2812369791666665e-05,0.0
34834,25.0,39.982338,465.255,0.071,13.445,6.22425e-05,0.000115826015625,6.0056250000000006e-05,2.7580442708333334e-05,4.890479166666666e-05,9.246442708333333e-05,5.756098958333333e-05,2.40109375e-05,6.098989583333334e-05,0.000113267734375,7.401005208333334e-05,3.172533854166667e-05,0.0
34835,25.0,39.982338,465.255,0.071,13.445,6.072747395833333e-05,0.00011302265625000001,5.817223958333333e-05,2.6763593750000004e-05,4.752486979166668e-05,8.980466145833332e-05,5.5618125000000004e-05,2.3219583333333337e-05,5.929213541666667e-05,0.000110051171875,7.169171874999999e-05,3.0747187500000005e-05,0.0
34836,25.0,39.982338,465.255,0.071,13.445,5.930390625e-05,0.00011038578125000002,5.6383307291666666e-05,2.5983333333333332e-05,4.6255390624999994e-05,8.733067708333334e-05,5.3787239583333334e-05,2.2483125e-05,5.765802083333333e-05,0.00010701283854166667,6.945247395833333e-05,2.979559895833333e-05,0.0
34837,25.0,39.982338,465.255,0.071,13.445,5.795986979166667e-05,0.00010788924479166667,5.4683619791666664e-05,2.5240859375e-05,4.506385416666667e-05,8.4905625e-05,5.2067786458333334e-05,2.1771484375e-05,5.619484375e-05,0.00010412239583333333,6.738760416666667e-05,2.8912187500000003e-05,0.0
34838,25.0,39.982338,465.255,0.071,13.445,5.672510416666667e-05,0.00010554153645833333,5.3072265625000005e-05,2.4525494791666667e-05,4.3921145833333326e-05,8.262109375e-05,5.042184895833334e-05,2.1096953125e-05,5.472265625e-05,0.00010135432291666668,6.531895833333333e-05,2.8057317708333335e-05,0.0
34839,25.0,39.982338,465.255,0.071,13.445,5.553408854166667e-05,0.00010326458333333333,5.1507578125e-05,2.3875208333333333e-05,4.2840234375e-05,8.042619791666666e-05,4.885901041666667e-05,2.0439531249999997e-05,5.3379088541666666e-05,9.869401041666666e-05,6.340468750000001e-05,2.7245442708333335e-05,0.0
34840,25.0,39.982338,465.255,0.071,13.445,5.439200520833334e-05,0.000101090546875,5.0033854166666665e-05,2.3236119791666667e-05,4.176895833333333e-05,7.8309375e-05,4.7353776041666664e-05,1.9813541666666668e-05,5.207643229166667e-05,9.608947916666668e-05,6.1546796875e-05,2.6436666666666667e-05,0.0
34841,25.0,39.982338,465.255,0.071,13.445,5.329213541666667e-05,9.895427083333333e-05,4.862388020833333e-05,2.261671875e-05,4.0746901041666666e-05,7.620666666666668e-05,4.588286458333333e-05,1.9226041666666667e-05,5.080218750000001e-05,9.352973958333333e-05,5.972622395833334e-05,2.566515625e-05,0.0
34842,25.0,39.982338,465.255,0.071,13.445,5.2237395833333337e-05,9.688627604166668e-05,4.7236822916666674e-05,2.2021250000000002e-05,3.981643229166667e-05,7.420041666666668e-05,4.449890625e-05,1.8651328124999998e-05,4.957377604166667e-05,9.112864583333334e-05,5.799458333333333e-05,2.4924296875000004e-05,0.0
34843,25.0,39.982338,465.255,0.071,13.445,5.123799479166667e-05,9.4909296875e-05,4.5898203124999995e-05,2.143671875e-05,3.889236979166667e-05,7.226393229166667e-05,4.311947916666667e-05,1.8076041666666666e-05,4.836325520833333e-05,8.871153645833333e-05,5.629390625e-05,2.4212239583333337e-05,0.0
34844,25.0,39.982338,465.255,0.071,13.445,5.0225416666666665e-05,9.291986979166668e-05,4.4600755208333336e-05,2.08778125e-05,3.798869791666667e-05,7.0350703125e-05,4.1820807291666665e-05,1.7536302083333333e-05,4.7204765625e-05,8.644023437499999e-05,5.4650833333333335e-05,2.3533307291666667e-05,0.0
34845,25.0,39.982338,465.255,0.071,13.445,4.926166666666667e-05,9.094606770833334e-05,4.33678125e-05,2.0311171875e-05,3.7080729166666666e-05,6.848638020833333e-05,4.056083333333334e-05,1.7031822916666664e-05,4.612364583333333e-05,8.413049479166666e-05,5.304796875e-05,2.2873854166666667e-05,0.0
34846,25.0,39.982338,465.255,0.071,13.445,4.828609375e-05,8.903114583333335e-05,4.2148515625e-05,1.9798307291666663e-05,3.6208203125e-05,6.665078125e-05,3.931276041666667e-05,1.6496875000000003e-05,4.504981770833333e-05,8.185765625e-05,5.153622395833333e-05,2.2196640625e-05,0.0
34847,25.0,39.982338,465.255,0.071,13.445,4.733286458333334e-05,8.723268229166667e-05,4.097500000000001e-05,1.9275807291666666e-05,3.535114583333333e-05,6.489138020833334e-05,3.80965625e-05,1.6013645833333333e-05,4.397440104166667e-05,7.971869791666666e-05,5.003786458333333e-05,2.1537838541666666e-05,0.0
34848,25.0,39.9739,465.255,0.071,13.445,4.6374088541666674e-05,8.533338541666666e-05,3.980348958333333e-05,1.8749140625e-05,3.4542265625e-05,6.313627604166666e-05,3.695453125e-05,1.5536041666666667e-05,4.291213541666667e-05,7.757322916666667e-05,4.853356770833333e-05,2.0951145833333334e-05,0.0
34849,25.0,39.9739,465.255,0.071,13.445,4.549565104166667e-05,8.353489583333333e-05,3.8689427083333334e-05,1.8240208333333334e-05,3.371205729166667e-05,6.141338541666666e-05,3.582885416666667e-05,1.5074817708333332e-05,4.1901145833333335e-05,7.548755208333335e-05,4.7104322916666675e-05,2.0323411458333332e-05,0.0
34850,25.0,39.9739,465.255,0.071,13.445,4.458713541666667e-05,8.172585937499999e-05,3.7603359375e-05,1.7772005208333333e-05,3.290875e-05,5.9745937500000006e-05,3.471182291666666e-05,1.4607708333333334e-05,4.085018229166667e-05,7.340138020833333e-05,4.572205729166667e-05,1.9723645833333336e-05,0.0
34851,25.0,39.9739,465.255,0.071,13.445,4.36903125e-05,7.997822916666667e-05,3.6524661458333335e-05,1.7273255208333333e-05,3.2145703125e-05,5.8091171875e-05,3.361911458333333e-05,1.4178203125e-05,3.989268229166667e-05,7.145869791666666e-05,4.435252604166666e-05,1.9155755208333334e-05,0.0
34852,25.0,39.9739,465.255,0.071,13.445,4.277484375e-05,7.8191953125e-05,3.5478046875000004e-05,1.6806692708333336e-05,3.140151041666667e-05,5.6452109375e-05,3.258114583333333e-05,1.3733124999999999e-05,3.8911875e-05,6.945765625e-05,4.302731770833334e-05,1.8598125e-05,0.0
34853,25.0,39.9739,465.255,0.071,13.445,4.1810781249999997e-05,7.641187500000001e-05,3.4455625e-05,1.633286458333333e-05,3.0623984375000005e-05,5.4908307291666664e-05,3.151658854166667e-05,1.3313177083333334e-05,3.791231770833334e-05,6.748236979166666e-05,4.173388020833333e-05,1.8049270833333333e-05,0.0
34854,25.0,39.9739,465.255,0.071,13.445,4.093177083333333e-05,7.4631171875e-05,3.3455078125000004e-05,1.5861614583333338e-05,2.9894036458333333e-05,5.332067708333334e-05,3.052361979166667e-05,1.2895234375e-05,3.6963619791666664e-05,6.563111979166667e-05,4.049635416666666e-05,1.7535416666666668e-05,0.0
34855,25.0,39.9739,465.255,0.071,13.445,4.0097005208333336e-05,7.294375000000001e-05,3.2481666666666664e-05,1.542877604166667e-05,2.9143619791666668e-05,5.181197916666667e-05,2.9528437500000003e-05,1.2504192708333333e-05,3.6024322916666665e-05,6.379953125e-05,3.9276770833333336e-05,1.6997708333333333e-05,0.0
