,Temperature,Humidity Sensor,CO,HCHO,EtOH,UUT1_I_S1,UUT1_I_S2,UUT1_I_S3,UUT1_I_S4,UUT2_I_S1,UUT2_I_S2,UUT2_I_S3,UUT2_I_S4,UUT3_I_S1,UUT3_I_S2,UUT3_I_S3,UUT3_I_S4,Gaz warning
36300,25.02000000000004,39.999199,147.456,1.019,128.533,2.1939921875e-05,3.7706510416666663e-05,1.6216875e-05,8.2825e-06,1.592697916666667e-05,2.7062552083333334e-05,1.5175963541666666e-05,6.793645833333334e-06,2.0131197916666665e-05,3.355619791666667e-05,2.026872395833333e-05,9.330598958333334e-06,0.0
36301,25.02000000000004,39.999199,147.456,1.019,128.533,2.2904088541666667e-05,3.9355703125e-05,1.702484375e-05,8.648645833333335e-06,1.662651041666667e-05,2.8340703125000002e-05,1.5946145833333334e-05,7.119921875000001e-06,2.1011354166666666e-05,3.509174479166667e-05,2.1252213541666665e-05,9.745703125e-06,0.0
36302,25.02000000000004,39.999199,147.456,1.019,128.533,2.3848255208333337e-05,4.1025390625e-05,1.7838489583333334e-05,9.028723958333334e-06,1.7347630208333332e-05,2.960127604166667e-05,1.6725494791666667e-05,7.456953125e-06,2.1911328124999997e-05,3.6601875e-05,2.2222421875e-05,1.0205781249999998e-05,0.0
36303,25.02000000000004,39.999199,147.456,1.019,128.533,2.4793463541666668e-05,4.268791666666667e-05,1.8661510416666665e-05,9.414583333333333e-06,1.8061328125000002e-05,3.0879479166666665e-05,1.7497291666666664e-05,7.7859375e-06,2.278247395833333e-05,3.811903645833334e-05,2.322192708333333e-05,1.0630859375e-05,0.0
36304,25.02000000000004,39.999199,147.456,1.019,128.533,2.5750989583333333e-05,4.4371875000000006e-05,1.9474010416666668e-05,9.802604166666666e-06,1.8794635416666668e-05,3.221765625000001e-05,1.8278697916666665e-05,8.143046874999999e-06,2.372296875e-05,3.967854166666667e-05,2.423026041666667e-05,1.1091875e-05,0.0
36305,25.02000000000004,39.999199,147.456,1.019,128.533,2.672135416666667e-05,4.611018229166666e-05,2.0298333333333335e-05,1.0219244791666666e-05,1.9497708333333333e-05,3.3568489583333334e-05,1.9084895833333335e-05,8.488255208333334e-06,2.4626536458333333e-05,4.1281328125e-05,2.5258151041666666e-05,1.1536302083333333e-05,0.0
36306,25.02000000000004,39.999199,147.456,1.019,128.533,2.7699739583333334e-05,4.7805338541666665e-05,2.1111796875e-05,1.0607005208333333e-05,2.0259479166666666e-05,3.4910963541666664e-05,1.990700520833333e-05,8.839973958333334e-06,2.5550182291666663e-05,4.285122395833334e-05,2.6269661458333333e-05,1.1999739583333333e-05,0.0
36307,25.02000000000004,39.999199,147.456,1.019,128.533,2.869213541666667e-05,4.95409375e-05,2.19540625e-05,1.10071875e-05,2.1004895833333334e-05,3.628888020833333e-05,2.073140625e-05,9.205208333333333e-06,2.6476197916666666e-05,4.446859375e-05,2.7328515625000003e-05,1.2462552083333333e-05,0.0
36308,25.02000000000004,40.011841,147.456,1.019,128.533,2.967291666666667e-05,5.1306796875e-05,2.280385416666667e-05,1.1432239583333333e-05,2.1755546875e-05,3.7713645833333335e-05,2.1566354166666666e-05,9.574036458333335e-06,2.741080729166667e-05,4.609768229166667e-05,2.8373541666666667e-05,1.2936223958333334e-05,0.0
36309,25.02000000000004,40.011841,147.456,1.019,128.533,3.065486979166667e-05,5.3072005208333333e-05,2.3640390625e-05,1.184158854166667e-05,2.253518229166667e-05,3.9152395833333336e-05,2.2438333333333335e-05,9.968828125000001e-06,2.8331119791666665e-05,4.7763984375e-05,2.943078125e-05,1.3445494791666665e-05,0.0
36310,25.02000000000004,40.011841,147.456,1.019,128.533,3.169947916666667e-05,5.487510416666667e-05,2.4512968750000004e-05,1.2280911458333332e-05,2.3325572916666668e-05,4.062643229166667e-05,2.3329010416666668e-05,1.0361015625000002e-05,2.9285625e-05,4.9463880208333335e-05,3.0514322916666666e-05,1.3929244791666667e-05,0.0
36311,25.02000000000004,40.011841,147.456,1.019,128.533,3.267596354166667e-05,5.668270833333334e-05,2.5378151041666665e-05,1.2703020833333334e-05,2.4091927083333333e-05,4.2099244791666664e-05,2.4206588541666667e-05,1.0751927083333332e-05,3.0227786458333333e-05,5.115455729166667e-05,3.162364583333333e-05,1.4424505208333335e-05,0.0
36312,25.02000000000004,40.011841,147.456,1.019,128.533,3.367270833333334e-05,5.8495208333333334e-05,2.6252734375000005e-05,1.314109375e-05,2.4892135416666665e-05,4.361799479166667e-05,2.5113880208333336e-05,1.1154765625e-05,3.1188255208333335e-05,5.2903151041666673e-05,3.2720182291666664e-05,1.4938723958333333e-05,0.0
36313,25.02000000000004,40.011841,147.456,1.019,128.533,3.4671015625e-05,6.0285885416666664e-05,2.711578125e-05,1.3570416666666666e-05,2.5677864583333334e-05,4.511526041666666e-05,2.6012656249999998e-05,1.1564401041666667e-05,3.214583333333333e-05,5.462989583333333e-05,3.385088541666667e-05,1.5451718750000003e-05,0.0
36314,25.02000000000004,40.011841,147.456,1.019,128.533,3.5686432291666666e-05,6.212268229166667e-05,2.8037343749999998e-05,1.4025703125000001e-05,2.6469036458333335e-05,4.6648828125e-05,2.6926770833333334e-05,1.1979192708333334e-05,3.30971875e-05,5.6391796875000003e-05,3.497372395833334e-05,1.596080729166667e-05,0.0
36315,25.02000000000004,40.011841,147.456,1.019,128.533,3.6662708333333336e-05,6.396106770833333e-05,2.8926458333333337e-05,1.4470703125e-05,2.726979166666667e-05,4.8205234375e-05,2.7869296875e-05,1.2405546874999999e-05,3.406653645833333e-05,5.8201197916666665e-05,3.6125494791666674e-05,1.6484557291666668e-05,0.0
36316,25.02000000000004,40.011841,147.456,1.019,128.533,3.7625390625000004e-05,6.574041666666668e-05,2.9827005208333335e-05,1.49240625e-05,2.805424479166667e-05,4.974783854166667e-05,2.8808541666666665e-05,1.2820494791666666e-05,3.5018984375e-05,5.997919270833333e-05,3.726265625e-05,1.7002994791666666e-05,0.0
36317,25.02000000000004,40.011841,147.456,1.019,128.533,3.8582604166666665e-05,6.751307291666667e-05,3.072890625e-05,1.5364505208333336e-05,2.8836484375000002e-05,5.1303906250000004e-05,2.9744479166666667e-05,1.3250338541666667e-05,3.594408854166667e-05,6.179591145833333e-05,3.8449244791666664e-05,1.7556901041666666e-05,0.0
36318,25.02000000000004,40.011841,147.456,1.019,128.533,3.951359375e-05,6.929359375e-05,3.1653046875e-05,1.582828125e-05,2.959677083333333e-05,5.287124999999999e-05,3.0700260416666666e-05,1.3678385416666667e-05,3.688692708333333e-05,6.358255208333334e-05,3.9606796874999994e-05,1.8086770833333337e-05,0.0
36319,25.02000000000004,40.011841,147.456,1.019,128.533,4.044208333333334e-05,7.104200520833333e-05,3.257e-05,1.6280052083333333e-05,3.0382239583333334e-05,5.440302083333333e-05,3.165528645833333e-05,1.411390625e-05,3.782830729166667e-05,6.542596354166667e-05,4.079408854166667e-05,1.8633177083333334e-05,0.0
36320,25.02000000000004,40.011841,147.456,1.019,128.533,4.132661458333334e-05,7.272739583333334e-05,3.3459244791666666e-05,1.6726588541666667e-05,3.113455729166667e-05,5.5947317708333334e-05,3.262778645833334e-05,1.4544088541666667e-05,3.876346354166667e-05,6.725588541666667e-05,4.201e-05,1.9198671875e-05,0.0
36321,25.02000000000004,40.011841,147.456,1.019,128.533,4.218752604166667e-05,7.439861979166667e-05,3.437846354166667e-05,1.7181093750000002e-05,3.1874296875e-05,5.7463489583333335e-05,3.358526041666666e-05,1.4976901041666665e-05,3.9689140625e-05,6.910502604166668e-05,4.3238541666666675e-05,1.9746484375e-05,0.0
36322,25.02000000000004,40.028702,147.456,1.019,128.533,4.3021015625e-05,7.606104166666666e-05,3.5281666666666665e-05,1.7619505208333334e-05,3.263427083333333e-05,5.900669270833334e-05,3.456015625e-05,1.5425442708333333e-05,4.061953125e-05,7.095421875e-05,4.446989583333333e-05,2.0301302083333335e-05,0.0
36323,25.02000000000004,40.028702,147.456,1.019,128.533,4.3856276041666665e-05,7.761864583333333e-05,3.6198645833333334e-05,1.8057447916666668e-05,3.3364609375e-05,6.0481614583333334e-05,3.551377604166667e-05,1.5859114583333332e-05,4.155072916666667e-05,7.2798828125e-05,4.573744791666667e-05,2.0870234375e-05,0.0
36324,25.02000000000004,40.028702,147.456,1.019,128.533,4.4613359375e-05,7.915466145833333e-05,3.711083333333334e-05,1.8496536458333336e-05,3.405817708333333e-05,6.1977890625e-05,3.6487109375e-05,1.6289921875e-05,4.250252604166667e-05,7.474963541666667e-05,4.701692708333334e-05,2.145119791666667e-05,0.0
36325,25.02000000000004,40.028702,147.456,1.019,128.533,4.5398072916666664e-05,8.067799479166667e-05,3.805981770833333e-05,1.8931197916666666e-05,3.475401041666667e-05,6.3436640625e-05,3.744541666666667e-05,1.6723515625000002e-05,4.344583333333334e-05,7.663153645833333e-05,4.834481770833333e-05,2.2015729166666668e-05,0.0
36326,25.02000000000004,40.028702,147.456,1.019,128.533,4.614447916666666e-05,8.213770833333334e-05,3.900692708333333e-05,1.9368645833333334e-05,3.543518229166667e-05,6.489505208333334e-05,3.842588541666667e-05,1.7162604166666666e-05,4.439213541666667e-05,7.860906250000001e-05,4.969638020833333e-05,2.261927083333333e-05,0.0
